name,price
Sticker | Natus Vincere (Holo) | Katowice 2019,8.71
Galil AR | Chatterbox (Battle-Scarred),5.85
M4A4 | Desert-Strike (Well-Worn),7.14
P250 | Bengal Tiger (Factory New),40.02
SG 553 | Cyrex (Battle-Scarred),2.78
AUG | Chameleon (Well-Worn),5.09
M4A4 | Royal Paladin (Minimal Wear),34.83
Desert Eagle | Golden Koi (Factory New),35.97
StatTrak™ AK-47 | Neon Revolution (Minimal Wear),66.59
AK-47 | Aquamarine Revenge (Well-Worn),20.58
AK-47 | Safari Mesh (Minimal Wear),0.61
"StatTrak™ Music Kit | Tree Adams and Ben Bromfield, M.U.D.D. FORCE",2.39
Five-SeveN | Violent Daimyo (Factory New),0.46
Tec-9 | Ice Cap (Factory New),0.34
CZ75-Auto | Red Astor (Well-Worn),0.28
USP-S | Cortex (Field-Tested),3.14
AUG | Aristocrat (Minimal Wear),0.92
Glock-18 | Water Elemental (Field-Tested),4.15
Dual Berettas | Anodized Navy (Factory New),0.67
M4A4 | 龍王 (Dragon King) (Minimal Wear),13.14
AK-47 | Aquamarine Revenge (Minimal Wear),43.29
UMP-45 | Primal Saber (Field-Tested),1.59
MP7 | Cirrus (Minimal Wear),0.27
Five-SeveN | Fowl Play (Minimal Wear),2.77
Sawed-Off | The Kraken (Minimal Wear),5.38
FAMAS | Cyanospatter (Factory New),1.18
G3SG1 | Azure Zebra (Factory New),1.17
P250 | X-Ray (Factory New),0.59
USP-S | Blueprint (Minimal Wear),8.17
SSG 08 | Abyss (Factory New),2.63
Galil AR | Rocket Pop (Minimal Wear),1.6
StatTrak™ PP-Bizon | Blue Streak (Minimal Wear),4.39
SG 553 | Anodized Navy (Factory New),0.76
MAG-7 | Monster Call (Field-Tested),0.52
MP9 | Goo (Minimal Wear),0.48
SCAR-20 | Enforcer (Field-Tested),0.41
AWP | Worm God (Factory New),1.97
Desert Eagle | Conspiracy (Factory New),6.71
M4A4 | Desolate Space (Well-Worn),7.53
Glock-18 | Weasel (Minimal Wear),0.69
Dual Berettas | Ventilators (Minimal Wear),0.11
PP-Bizon | Candy Apple (Factory New),0.21
Nova | Koi (Minimal Wear),0.69
Sticker | Poorly Drawn Leet Crew,0.19
SCAR-20 | Grotto (Minimal Wear),0.22
PP-Bizon | Osiris (Minimal Wear),0.62
MP9 | Bioleak (Minimal Wear),0.21
Glock-18 | Vogue (Factory New),11.83
AK-47 | Legion of Anubis (Field-Tested),16.77
MAC-10 | Allure (Minimal Wear),0.8
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested),0.94
Dual Berettas | Twin Turbo (Well-Worn),3.71
Glock-18 | Nuclear Garden (Minimal Wear),7.17
Desert Eagle | Crimson Web (Field-Tested),5.46
StatTrak™ Glock-18 | Sacrifice (Factory New),7.17
M4A4 | Cyber Security (Minimal Wear),10.03
Community Sticker Capsule 1,5.44
AK-47 | Asiimov (Battle-Scarred),24.7
Desert Eagle | Mecha Industries (Battle-Scarred),3.16
StatTrak™ M4A1-S | Flashback (Field-Tested),2.86
AK-47 | Baroque Purple (Factory New),12.15
★ Navaja Knife,70.58
City 17 Pin,4.74
Sticker | North (Gold) | 2020 RMR,5.65
Sticker | HellRaisers (Holo) | Katowice 2019,4.15
Chroma 3 Case,0.18
M4A1-S | Nitro (Well-Worn),0.97
Glock-18 | Moonrise (Factory New),1.06
Sticker | Vitality (Holo) | Katowice 2019,1.95
Sticker | Fnatic | Cologne 2016,2.48
M4A1-S | Printstream (Battle-Scarred),29.18
AK-47 | Redline (Well-Worn),14.32
AK-47 | Point Disarray (Minimal Wear),23.32
StatTrak™ Desert Eagle | Conspiracy (Field-Tested),13.76
Five-SeveN | Violent Daimyo (Minimal Wear),0.2
SG 553 | Aerial (Minimal Wear),0.14
StatTrak™ P90 | Freight (Field-Tested),0.17
AUG | Arctic Wolf (Minimal Wear),3.69
StatTrak™ FAMAS | Crypsis (Factory New),1.52
StatTrak™ AK-47 | Cartel (Field-Tested),20.67
P250 | Nevermore (Minimal Wear),0.59
StatTrak™ Tec-9 | Fuel Injector (Field-Tested),4.76
Desert Eagle | Kumicho Dragon (Field-Tested),10.95
UMP-45 | Arctic Wolf (Minimal Wear),0.53
MP9 | Airlock (Minimal Wear),3.42
AUG | Syd Mead (Minimal Wear),3.75
M4A1-S | Golden Coil (Minimal Wear),25.55
FAMAS | Eye of Athena (Minimal Wear),6.0
G3SG1 | High Seas (Factory New),1.84
StatTrak™ Dual Berettas | Balance (Minimal Wear),1.4
P90 | Shallow Grave (Field-Tested),1.87
USP-S | Lead Conduit (Minimal Wear),0.92
MP7 | Anodized Navy (Factory New),0.79
